	small	small	mid1	mid1	mid2	mid2	large	large
	centro_start	centro_end	centro_start	centro_end	centro_start	centro_end	centro_start	centro_end
chr1	117156000	146924000	118560000	145640000	120240000	145000000	120000000	145200000
chr2	86172000	101204000	87080000	99760000	89920000	97080000	90000000	97200000
chr3	83392000	98324000	86020000	97080000	87680000	94480000	87200000	94200000
chr4	43768000	57264000	45500000	55120000	47960000	52960000	47800000	53000000
chr5	41544000	54592000	43160000	53020000	45760000	51080000	45800000	52800000
chr6	54260000	67612000	56100000	66000000	57840000	63800000	57400000	64800000
chr7	55300000	66132000	55580000	64340000	57680000	62040000	57600000	62000000
chr8	39080000	52516000	42700000	50720000	42880000	48480000	42400000	48600000
chr9	38692000	70944000	38700000	71380000	39760000	71120000	41800000	71800000
chr10	33496000	46920000	35200000	44980000	37680000	42640000	37600000	42800000
chr11	47396000	59616000	48340000	56300000	51080000	56120000	51000000	56200000
chr12	29156000	42420000	30480000	40540000	33080000	38560000	33000000	38800000
chr13	0	23628000	0	23000000	0	19960000	0	20000000
chr14	0	23012000	0	21620000	0	20720000	0	20600000
chr15	0	25116000	0	23660000	0	22520000	0	22800000
chr16	30376000	49124000	31300000	49200000	34160000	46920000	34200000	47600000
chr17	17888000	27448000	19200000	27080000	21960000	26040000	21800000	26200000
chr18	11244000	23304000	12640000	21520000	15160000	19280000	14400000	19400000
chr19	20036000	32768000	21780000	30240000	24160000	28920000	24000000	29000000
chr20	21408000	33772000	22900000	32320000	25120000	29680000	25200000	29800000
chr21	0	18588000	0	16880000	0	14720000	0	15000000
chr22	0	22128000	0	20780000	0	18240000	0	18200000
chrX	53704000	67704000	55140000	66060000	57360000	63640000	57200000	65800000
